supplier,product_name,price,price_raw,vehicle_make,vehicle_model,year_range,main_category,subcategory,brand,engine_size,oem_part_number,category,description,product_url,image_urls,scrape_date
PolishVenture,Hyundai Accent 00 Boot Outer CV Joint Kit PVC 76X98X23,0.0,KSh0.00,Hyundai,,,Uncategorized,,Hyundai,,,SKU:21173In Stock,BOOT OUTER CV JOINT KIT PVC 76X98X23,https://polishventure.com/product/hyundai-accent-00-boot-outer-cv-joint-kit-pvc-76x98x23/,https://polishventure.com/wp-content/uploads/2023/12/2217P-SORR-400x400.jpg,2025-11-02 14:27:05
PolishVenture,Toyota CVT TC Gearbox Transmission Oil 4L,0.0,KSh0.00,Toyota,,,Suspension,Gearbox,Toyota,,,In Stock,"DescriptionToyota CVT TC Gearbox Transmission Oil 4LBuy at the best price in Nairobi, KenyaShop for service partsShop for Car AccessoriesShop for Suspension PartsFollow us onFacebookfor the latest offers!",https://polishventure.com/product/toyota-cvt-tc-gearbox-transmission-oil-4l/,https://polishventure.com/wp-content/uploads/2020/05/cvt-tc-400x400.jpg,2025-11-02 14:27:13
PolishVenture,Vehicle AC Gas Cylinder R134a,0.0,KSh0.00,,,,Suspension,,,,,In Stock,"DescriptionVehicle AC Gas Cylinder R134aInternationally, R134a is acknowledged as one of the primary refrigerant working chemicals to replace CFC-12. It doesn’t include chlorine atoms, has no negative impacts on the ozone layer, and exhibits great safety characteristics such as being non-flammable, non-explosive, non-toxic, non-pungency, and non-corrosive. Under normal temperature and pressure, it is a colourless and transparent liquid, respectively. It is frequently used as a CFC-12 replacement in the refrigeration systems of automobile air conditioners, as well as for commercial and industrial uses. As a vesicant, it is also used to prepare other blend refrigerants, including R404A and R407C.Packaging: Disposable steel cylinderGrade: High quality – 99.9% purityQuantity: 13.6kgBuy Vehicle AC Gas Cylinder R134a at the best price in Nairobi Kenya.Shop for service partsShop for Car AccessoriesShop for Suspension PartsFollow us onFacebookfor the latest offers!",https://polishventure.com/product/vehicle-ac-gas-cylinder-r134a/,https://polishventure.com/wp-content/uploads/2022/06/hfc-r134a-refrigerant-gas_64155-400x400.jpg,2025-11-02 14:27:20
PolishVenture,Land Rover 3/Discovery 3 Rear Shock Absorber Bushing,0.0,KSh0.00,Land Rover,,,Brakes,ABS,Land Rover,,,SKU:9080In Stock,REAR SHOCK ABSORBER BUSHING,https://polishventure.com/product/land-rover-3-discovery-3-rear-shock-absorber-bushing/,https://polishventure.com/wp-content/uploads/2023/10/LRAB-038-400x400.jpg,2025-11-02 14:27:22
PolishVenture,Abro Radiator Coolant,0.0,KSh0.00,,,,Fluids,Coolant,,,,SKU:N/AIn Stock,DescriptionAbro Radiator Coolant• Replenishes and Conditions Old Anti-Freeze• Fortified Inhibitors Guard Against Rust and Scale• Helps Prevent OverheatingQuantity 3.785litresSee moreLubricantsFollow us onFacebookfor latest offers!,https://polishventure.com/product/abro-radiator-coolant/,https://polishventure.com/wp-content/uploads/2022/06/Abro-coolant-green-400x400.png,2025-11-02 14:27:25
PolishVenture,SSANG YONG KORANDO C 2002-2013 Front shock absorber jounce bumper,0.0,KSh0.00,,,2002-2013,Brakes,ABS,,,,SKU:11436In Stock,Front shock absorber jounce bumper,https://polishventure.com/product/ssang-yong-korando-c-2002-2013-front-shock-absorber-jounce-bumper/,https://polishventure.com/wp-content/uploads/2024/06/SGD-KORF-400x400.jpg,2025-11-02 14:27:26
PolishVenture,Volkswagen Bora/Golf V-Ribbed Belt (6PK1548),0.0,KSh0.00,Volkswagen,Golf,,Uncategorized,,Volkswagen,,,SKU:Vika291In Stock,V-Ribbed Belt (6PK1548),https://polishventure.com/product/volkswagen-bora-golf-v-ribbed-belt-6pk1548/,https://polishventure.com/wp-content/uploads/2024/11/036145933H-1-400x400.jpg,2025-11-02 14:27:32
PolishVenture,Denso K20PR-U11 Standard Spark Plug,0.0,KSh0.00,,,,Engine,Spark Plugs,,,,In Stock,"DescriptionDenso K20PR-U11 Standard Spark PlugThe spark plugs are what supply the spark that ignites the air/fuel mixture, creating the explosion which makes your engine produce power. New spark plugs, for instance, keep your engine at its peak and efficiency levels.Benefits of replacing spark plugsThe primary benefit is knowing your car will start without a hitch. Needless to say, that’s not all that matters. New spark plugs provide a lot of other performance benefits as well.1.Firstly, consistent production of optimal combustion. Fully functioning spark plugs equate a fully functioning combustion system. Get this operating successfully, and a lot of performance issues you’re experiencing could be a distant memory.2. Secondly, better fuel economy. The National Institute for Automotive Service Excellence says misfiring spark plugs can reduce fuel efficiency by 30%. New plugs, when replaced at specified intervals, maximize fuel economy and save some dough.3. Thirdly, smooth and energetic starts. The first time you turn the ignition with a new spark plug can be an eye-opening experience. That old spark plug may have been the reason your car was experiencing those jerky starts.4. Fourth, less harmful emissions. The Environmental Protection Agency states that regular engine tune-ups—especially in regard to spark plugs—not only save gas but also reduce air pollution. That’s a win-win.5. Lastly, reduces the risk of catalytic converter failure.Polish Venture says NO to COUNTERFEIT!80% of spark plugs sold in Kenya today are counterfeit. Know how to spot the fake and avoid damaging your engine.Popular spark plug manufacturers such as NGK, Denso, Bosch, for example, give iridium spark plugs a life expectancy of 40,000 to 50,000km but typically last longer. Nickel spark plugs on the other hand last 10,000 to 20,000km.Know How To Spot The FakeBuy genuine Denso K20PR-U11 Standard Spark Plug at the best price in Nairobi, KenyaShop for service partsCheck out our Car AccessoriesShop for Suspension PartsFollow us onFacebookfor the latest offers!",https://polishventure.com/product/denso-k20pr-u11-standard-spark-plug/,https://polishventure.com/wp-content/uploads/2022/06/Denso-K20PR-U11-Standard-Spark-Plug-400x400.jpg,2025-11-02 14:27:34
PolishVenture,Dodge Nitro Front Differential Bushing,0.0,KSh0.00,Dodge,,,Uncategorized,,Dodge,,,SKU:22914In Stock,FRONT DIFFERENTIAL BUSHING,https://polishventure.com/product/dodge-nitro-front-differential-bushing/,https://polishventure.com/wp-content/uploads/2023/12/CRAB-072-400x400.jpg,2025-11-02 14:27:38
PolishVenture,Castrol EDGE 5W-30 Engine Oil,0.0,KSh0.00,,,,Engine,Engine Oil,,,,In Stock,"AdvantagesTransforms to be strongest when the pressure is highest, protecting your engineReduces power-robbing friction across engine speeds and conditionsIndependently tested at the highest standards for proven performanceRecommended by world-leading car manufacturersProtects the engine for the entire drain interval even under extreme pressure",https://polishventure.com/product/castrol-edge-5w-30-engine-oil/,https://polishventure.com/wp-content/uploads/2022/12/castrol-edge-5w30-c3-4-litres-400x400.jpg,2025-11-02 14:27:45
